TrackName,PricePerTrack,TotalUnitsSold
Latlux,0.99,19
Tres-Zap,0.99,19
Prodder,0.99,18
Sonsing,0.99,17
Temp,0.99,17
Cookley,0.99,15
Flowdesk,0.99,15
Solarbreeze,0.99,15
Stim,0.99,15
Zontrax,0.99,15
Alpha,0.99,14
Alphazap,0.99,14
Bytecard,0.99,14
Fintone,0.99,14
Konklux,0.99,14
Transcof,0.99,14
Asoka,0.99,13
Mat Lam Tam,0.99,13
Sonair,0.99,13
Toughjoyfax,0.99,13
Voyatouch,0.99,13
Andalax,0.99,12
Gembucket,0.99,12
Greenlam,0.99,12
It,0.99,12
Keylex,0.99,12
Opela,0.99,12
Tempsoft,0.99,12
Tresom,0.99,12
Wrapsafe,0.99,12
Y-Solowarm,0.99,12
Zaam-Dox,0.99,12
Bamity,0.99,11
Bitchip,0.99,11
Bitwolf,0.99,11
Cardguard,0.99,11
Domainer,0.99,11
Flexidy,0.99,11
Span,0.99,11
Y-find,0.99,11
Biodex,0.99,10
Cardify,0.99,10
Konklab,0.99,10
Matsoft,0.99,10
Pannier,0.99,10
Ronstring,0.99,10
Veribet,0.99,10
Zamit,0.99,10
Bigtax,0.99,9
Fix San,0.99,9
Fixflex,0.99,9
Holdlamis,0.99,9
Home Ing,0.99,9
Job,0.99,9
Otcom,0.99,9
Stronghold,0.99,9
Subin,0.99,9
Ventosanzap,0.99,9
Zoolab,0.99,9
Aerified,0.99,8
Kanlam,0.99,8
Overhold,0.99,8
Quo Lux,0.99,8
Regrant,0.99,8
Stringtough,0.99,8
Sub-Ex,0.99,8
Tampflex,0.99,8
Tin,0.99,8
Voltsillam,0.99,8
conglomeration,0.99,8
Hatity,0.99,7
Lotlux,0.99,7
Lotstring,0.99,7
Namfix,0.99,7
Redhold,0.99,7
artificial intelligence,0.99,7
holistic,0.99,7
projection,0.99,7
Exclusive,0.99,6
Treeflex,0.99,6
Trippledex,0.99,6
Viva,0.99,6
capability,0.99,6
emulation,0.99,6
scalable,0.99,6
Duobam,0.99,5
Focused,0.99,5
Opela,1.99,5
Rank,0.99,5
Zathin,0.99,5
analyzer,0.99,5
array,0.99,5
complexity,0.99,5
explicit,0.99,5
incremental,0.99,5
installation,0.99,5
optimizing,0.99,5
Daltfresh,0.99,4
Optimized,0.99,4
Rank,1.99,4
Synchronised,0.99,4
application,0.99,4
archive,0.99,4
contingency,0.99,4
exuding,0.99,4
foreground,0.99,4
hierarchy,0.99,4
hub,0.99,4
instruction set,0.99,4
intangible,0.99,4
methodical,0.99,4
monitoring,0.99,4
multistate,0.99,4
open system,0.99,4
policy,0.99,4
throughput,0.99,4
Alpha,1.99,3
Assimilated,0.99,3
Automated,0.99,3
Bigtax,1.99,3
Bitchip,1.99,3
Compatible,0.99,3
Customizable,0.99,3
Devolved,0.99,3
Ergonomic,0.99,3
Inverse,0.99,3
Monitored,0.99,3
Proactive,0.99,3
Profound,0.99,3
Ronstring,1.99,3
Seamless,0.99,3
Span,1.99,3
Stringtough,1.99,3
Vagram,0.99,3
Zamit,1.99,3
architecture,0.99,3
asymmetric,0.99,3
asynchronous,0.99,3
concept,0.99,3
definition,0.99,3
directional,0.99,3
empowering,0.99,3
forecast,0.99,3
framework,0.99,3
groupware,0.99,3
hardware,0.99,3
homogeneous,0.99,3
leading edge,0.99,3
local,0.99,3
logistical,0.99,3
mobile,0.99,3
moratorium,0.99,3
motivating,0.99,3
multimedia,0.99,3
national,0.99,3
neutral,0.99,3
next generation,0.99,3
open architecture,0.99,3
orchestration,0.99,3
paradigm,0.99,3
solution,0.99,3
standardization,0.99,3
static,0.99,3
strategy,0.99,3
structure,0.99,3
synergy,0.99,3
Aaren Rosenberg,0.99,2
Abrahan Pixton,0.99,2
Advanced,0.99,2
Alyssa Grimsey,0.99,2
Ameliorated,0.99,2
Aridatha Warman,0.99,2
Arliene Ivanin,0.99,2
Asa Lidierth,0.99,2
Ashlan Mattosoff,0.99,2
Bank Mocquer,0.99,2
Bel Rowler,0.99,2
Benji Powlett,0.99,2
Benjy Edwards,0.99,2
Biodex,1.99,2
Brear Branch,0.99,2
Brianne Parkey,0.99,2
Bruis Ure,0.99,2
Businessfocused,0.99,2
Carolus Krugmann,0.99,2
Celka Filson,0.99,2
Christos Braidman,0.99,2
Clementine Drinan,0.99,2
Cloned,0.99,2
Dale Roelofsen,0.99,2
Daltfresh,1.99,2
Darla Walcar,0.99,2
Darsie Goodlett,1.99,2
Dave Gledhill,0.99,2
Delainey Brookes,0.99,2
Diverse,0.99,2
Dorie Jeffery,0.99,2
Duobam,1.99,2
Evie Simonutti,0.99,2
Face to face,0.99,2
Farly Walton,0.99,2
Fixflex,1.99,2
Franchot Arnaudon,0.99,2
Frederic Boecke,0.99,2
Gabriello Brenneke,0.99,2
Gage Hambers,0.99,2
Ginelle Wearing,0.99,2
Gracia Darell,0.99,2
Gradey Bernth,0.99,2
Hall Smallpeice,0.99,2
Harwilll Wingfield,0.99,2
Henry Coolly,0.99,2
Hercules Fawcitt,0.99,2
Homerus Garstang,0.99,2
Idaline Bladesmith,0.99,2
Implemented,0.99,2
Innovative,0.99,2
Integrated,0.99,2
Jake Chettle,0.99,2
Jeromy Coulman,0.99,2
Kanlam,1.99,2
Karol Duddle,0.99,2
Kassey Giacometti,0.99,2
Kennan Talkington,0.99,2
Lacey Miskimmon,0.99,2
Laurene Blewis,0.99,2
Lauretta Steeden,0.99,2
Lesley Showalter,0.99,2
Lovell Cropper,0.99,2
Madelena Keeting,0.99,2
Managed,0.99,2
Mariquilla Thomel,0.99,2
Marlon Gilstoun,0.99,2
Mat Lam Tam,1.99,2
Matrix,0.99,2
Merilyn Bertouloume,0.99,2
Multitiered,0.99,2
Myrtle Fawcett,0.99,2
Neel Storrs,0.99,2
Nichole Perel,0.99,2
Nonnah Madgin,0.99,2
Norris Chilton,0.99,2
Openbeat,0.99,2
Openjazz,0.99,2
Opensource,0.99,2
Operative,0.99,2
Optional,0.99,2
Organic,0.99,2
Othello Tegler,0.99,2
Overhold,1.99,2
Padraic De Blasi,0.99,2
Palmer Beaven,0.99,2
Pannier,1.99,2
Pavlov Thomas,0.99,2
Pearla Maulden,0.99,2
Perl Bartholomieu,0.99,2
Profitfocused,0.99,2
Publickey,0.99,2
Raddy Peele,0.99,2
Realigned,0.99,2
Reduced,0.99,2
Riane Vedntyev,0.99,2
Robust,0.99,2
Rog Newland,0.99,2
Rosmunda Deener,0.99,2
Sallyann Leak,0.99,2
Scarlett Bywaters,0.99,2
Shara Milch,0.99,2
Sharable,0.99,2
Sile Kempton,0.99,2
Skippie Moen,0.99,2
Sonair,1.99,2
Streamlined,0.99,2
Sub-Ex,1.99,2
Synergistic,0.99,2
Synergized,0.99,2
Tami Moncey,1.99,2
Tanitansy Scawton,0.99,2
Teamwinner,0.99,2
Temp,1.99,2
Timmie Haysey,0.99,2
Universal,0.99,2
Upsized,0.99,2
Userbuddy,0.99,2
Visionary,0.99,2
Visionstuff,0.99,2
Wanids Leiden,0.99,2
Willem McKinney,0.99,2
actuating,0.99,2
algorithm,0.99,2
alklwlejraw,0.99,2
alliance,0.99,2
approach,0.99,2
bandwidthmonitored,0.99,2
benchmark,0.99,2
capacity,0.99,2
circuit,0.99,2
coherent,0.99,2
cohesive,0.99,2
collaboration,0.99,2
customer loyalty,0.99,2
database,0.99,2
demandjazzdriven,0.99,2
discrete,0.99,2
dynamic,0.99,2
encompassing,0.99,2
encryption,0.99,2
firmware,0.99,2
focus group,0.99,2
frame,0.99,2
global,0.99,2
helpdesk,0.99,2
interface,0.99,2
knowledge base,0.99,2
lawrjtiuhh,0.99,2
lmlmk,0.99,2
local area network,0.99,2
middleware,0.99,2
model,0.99,2
multigroove,0.99,2
pricing structure,0.99,2
process improvement,0.99,2
realtime,0.99,2
solutiongetter,0.99,2
success,0.99,2
system engine,0.99,2
tangible,0.99,2
toolset,0.99,2
uniform,0.99,2
wlrjewjj,0.99,2
zero defect,0.99,2
zero tolerance,0.99,2
Aarika Wiszniewski,0.99,1
Adelle MacRorie,0.99,1
Adham Minker,0.99,1
Adiana Phillpot,0.99,1
Adolph M'Quharge,0.99,1
Adolph Ridesdale,0.99,1
Adoree Grissett,0.99,1
Adrianna Carver,0.99,1
Ahmed Reynoollds,0.99,1
Alano Wiltshear,0.99,1
Albie Eburah,1.99,1
Albie Goldston,0.99,1
Alden Message,0.99,1
Alexi Canto,0.99,1
Alexina Yanez,0.99,1
Alfons Dutnall,0.99,1
Alisander Jodrellec,0.99,1
Almira Whipple,0.99,1
Alonso Otto,0.99,1
Alvan Bailes,0.99,1
Amargo Smurthwaite,0.99,1
Amble Cordel,0.99,1
Anderea Garie,0.99,1
Andrey Armand,0.99,1
Angeline Massow,0.99,1
Anica Vitall,0.99,1
Annabelle Mecchi,0.99,1
Annalee Buney,0.99,1
Annamaria Glyde,0.99,1
Annamaria Ratnage,0.99,1
Antonia Adamovich,0.99,1
Ardys Pixton,0.99,1
Ario Bingall,0.99,1
Arlan Hurch,1.99,1
Arlena Alcott,0.99,1
Arley Aikett,0.99,1
Arline Jeske,0.99,1
Arnie Karlicek,0.99,1
Aryn Hastelow,0.99,1
Asoka,1.99,1
Audi Rubel,0.99,1
Augusta Dungey,0.99,1
Aurea Heinle,0.99,1
Auria Schoular,0.99,1
Aurie Petrasch,0.99,1
Aviva Willavize,0.99,1
Babara Rhodus,1.99,1
Balanced,0.99,1
Barnebas Blackburne,0.99,1
Barton Sinclaire,0.99,1
